"시점","항목",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2015","총인구수 (명)",51529338,10022181,3513777,2487829,2925815,1472199,1518775,1173534,210884,12522606,1549507,1583952,2077649,1869711,1908996,2702826,3364702,624395
"2015","남자인구수 (명)",25758186,4930943,1735570,1237291,1469869,729662,759778,604889,105752,6299812,781434,798896,1054439,930255,953881,1357306,1694981,313428
"2015","여자인구수 (명)",25771152,5091238,1778207,1250538,1455946,742537,758997,568645,105132,6222794,768073,785056,1023210,939456,955115,1345520,1669721,310967
"2016","총인구수 (명)",51696216,9930616,3498529,2484557,2943069,1469214,1514370,1172304,243048,12716780,1550806,1591625,2096727,1864791,1903914,2700398,3373871,641597
"2016","남자인구수 (명)",25827594,4876789,1725607,1234169,1477671,728137,757289,603797,121505,6395453,781146,803240,1064765,927505,951889,1356868,1699219,322545
"2016","여자인구수 (명)",25868622,5053827,1772922,1250388,1465398,741077,757081,568507,121543,6321327,769660,788385,1031962,937286,952025,1343530,1674652,319052
"2017","총인구수 (명)",51778544,9857426,3470653,2475231,2948542,1463770,1502227,1165132,280100,12873895,1550142,1594432,2116770,1854607,1896424,2691706,3380404,657083
"2017","남자인구수 (명)",25855919,4830206,1709508,1227814,1479597,725295,750969,599480,139734,6475323,780635,805091,1076270,922307,948290,1353164,1701413,330823
"2017","여자인구수 (명)",25922625,5027220,1761145,1247417,1468945,738475,751258,565652,140366,6398572,769507,789341,1040500,932300,948134,1338542,1678991,326260
"2018","총인구수 (명)",51826059,9765623,3441453,2461769,2954642,1459336,1489936,1155623,314126,13077153,1543052,1599252,2126282,1836832,1882970,2676831,3373988,667191
"2018","남자인구수 (명)",25866129,4773899,1692421,1219342,1481844,722581,744338,593819,156831,6577501,776456,808971,1082009,913297,943000,1346689,1697412,335719
"2018","여자인구수 (명)",25959930,4991724,1749032,1242427,1472798,736755,745598,561804,157295,6499652,766596,790281,1044273,923535,939970,1330142,1676576,331472
"2019","총인구수 (명)",51849861,9729107,3413841,2438031,2957026,1456468,1474870,1148019,340575,13239666,1541502,1600007,2123709,1818917,1868745,2665836,3362553,670989
"2019","남자인구수 (명)",25864816,4744059,1675417,1205286,1482249,720740,736607,589712,169845,6659995,775386,810384,1081938,904110,937674,1342037,1692032,337345
"2019","여자인구수 (명)",25985045,4985048,1738424,1232745,1474777,735728,738263,558307,170730,6579671,766116,789623,1041771,914807,931071,1323799,1670521,333644
"2020","총인구수 (명)",51829023,9668465,3391946,2418346,2942828,1450062,1463882,1136017,355831,13427014,1542840,1600837,2121029,1804104,1851549,2639422,3340216,674635
"2020","남자인구수 (명)",25841029,4701723,1661000,1193109,1473943,717348,730699,583708,177568,6754469,776505,811591,1082634,896874,930615,1329211,1681423,338609
"2020","여자인구수 (명)",25987994,4966742,1730946,1225237,1468885,732714,733183,552309,178263,6672545,766335,789246,1038395,907230,920934,1310211,1658793,336026
"2021","총인구수 (명)",51638809,9509458,3350380,2385412,2948375,1441611,1452251,1121592,371895,13565450,1538492,1597427,2119257,1786855,1832803,2626609,3314183,676759
"2021","남자인구수 (명)",25746684,4618040,1639044,1175632,1476373,713015,724626,576217,185678,6827298,774332,810672,1083366,888994,922221,1323661,1668338,339177
"2021","여자인구수 (명)",25892125,4891418,1711336,1209780,1472002,728596,727625,545375,186217,6738152,764160,786755,1035891,897861,910582,1302948,1645845,337582
