"시점","항목",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2017.01","총전입 (명)",577151,114655,37605,26169,29578,17484,18367,11137,5331,147008,18522,16809,23264,20975,19979,25341,33822,11105
"2017.01","총전출 (명)",577151,117173,39613,26266,29383,17358,18700,12210,3630,138863,19855,16797,22634,22213,21243,26785,33949,10479
"2017.01","순이동 (명)",0,-2518,-2008,-97,195,126,-333,-1073,1701,8145,-1333,12,630,-1238,-1264,-1444,-127,626
"2017.01","시도내이동-시군구내 (명)",202360,31151,11298,7871,9453,5682,4913,3586,1380,53642,7947,8023,8864,9064,6996,10702,15070,6718
"2017.01","시도내이동-시군구간 전입 (명)",166402,42425,15973,9966,8322,5322,5476,3822,0,41639,3853,2228,3587,6060,5224,4531,6909,1065
"2017.01","시도내이동-시군구간 전출 (명)",166402,42425,15973,9966,8322,5322,5476,3822,0,41639,3853,2228,3587,6060,5224,4531,6909,1065
"2017.01","시도간전입 (명)",208389,41079,10334,8332,11803,6480,7978,3729,3951,51727,6722,6558,10813,5851,7759,10108,11843,3322
"2017.01","시도간전출 (명)",208389,43597,12342,8429,11608,6354,8311,4802,2250,43582,8055,6546,10183,7089,9023,11552,11970,2696
"2017.02","총전입 (명)",748848,161130,48737,33146,38606,22751,23601,13655,7066,186226,23477,20859,32414,25336,24414,31878,42196,13356
"2017.02","총전출 (명)",748848,162678,50027,33613,38956,24050,24507,15728,4612,177324,24219,20587,30003,26503,25694,34046,44175,12126
"2017.02","순이동 (명)",0,-1548,-1290,-467,-350,-1299,-906,-2073,2454,8902,-742,272,2411,-1167,-1280,-2168,-1979,1230
"2017.02","시도내이동-시군구내 (명)",248401,42329,13258,9875,11791,7180,6031,4264,1584,65235,8726,9198,12003,10405,8181,12726,18250,7365
"2017.02","시도내이동-시군구간 전입 (명)",220124,61317,20507,12078,11003,7521,6796,4570,0,53709,5438,2651,5236,7136,6014,5879,9068,1201
"2017.02","시도내이동-시군구간 전출 (명)",220124,61317,20507,12078,11003,7521,6796,4570,0,53709,5438,2651,5236,7136,6014,5879,9068,1201
"2017.02","시도간전입 (명)",280323,57484,14972,11193,15812,8050,10774,4821,5482,67282,9313,9010,15175,7795,10219,13273,14878,4790
"2017.02","시도간전출 (명)",280323,59032,16262,11660,16162,9349,11680,6894,3028,58380,10055,8738,12764,8962,11499,15441,16857,3560
"2017.03","총전입 (명)",673351,143477,39566,27779,36433,20451,19915,12416,7392,172041,21771,19145,30178,23022,22288,29122,38197,10158
"2017.03","총전출 (명)",673351,148176,41622,28957,36448,21526,21952,13919,4001,162209,21877,19379,27861,23962,23082,30584,38767,9029
"2017.03","순이동 (명)",0,-4699,-2056,-1178,-15,-1075,-2037,-1503,3391,9832,-106,-234,2317,-940,-794,-1462,-570,1129
"2017.03","시도내이동-시군구내 (명)",241865,41907,12096,8935,12376,7045,5703,4163,1834,63973,8809,9239,12610,10344,7741,12205,17647,5238
"2017.03","시도내이동-시군구간 전입 (명)",190465,53564,15769,10224,10195,6504,6085,4171,0,47867,4455,2242,4244,5841,5332,5330,7747,895
"2017.03","시도내이동-시군구간 전출 (명)",190465,53564,15769,10224,10195,6504,6085,4171,0,47867,4455,2242,4244,5841,5332,5330,7747,895
"2017.03","시도간전입 (명)",241021,48006,11701,8620,13862,6902,8127,4082,5558,60201,8507,7664,13324,6837,9215,11587,12803,4025
"2017.03","시도간전출 (명)",241021,52705,13757,9798,13877,7977,10164,5585,2167,50369,8613,7898,11007,7777,10009,13049,13373,2896
"2017.04","총전입 (명)",532108,112932,34002,22568,30495,15679,15090,10745,6298,136220,15430,15093,22158,16925,17470,21978,31635,7390
"2017.04","총전출 (명)",532108,119307,35946,23205,30441,16691,16194,11518,3519,129921,15444,14363,20211,17498,17065,22496,31979,6310
"2017.04","순이동 (명)",0,-6375,-1944,-637,54,-1012,-1104,-773,2779,6299,-14,730,1947,-573,405,-518,-344,1080
"2017.04","시도내이동-시군구내 (명)",204112,35605,11253,8048,10970,5791,4397,3864,1823,54400,6825,6974,9281,8163,6506,9912,16511,3789
"2017.04","시도내이동-시군구간 전입 (명)",150047,43502,14384,8344,8804,5043,4688,3739,0,36943,2590,1700,3109,3843,3637,3443,5625,653
"2017.04","시도내이동-시군구간 전출 (명)",150047,43502,14384,8344,8804,5043,4688,3739,0,36943,2590,1700,3109,3843,3637,3443,5625,653
"2017.04","시도간전입 (명)",177949,33825,8365,6176,10721,4845,6005,3142,4475,44877,6015,6419,9768,4919,7327,8623,9499,2948
"2017.04","시도간전출 (명)",177949,40200,10309,6813,10667,5857,7109,3915,1696,38578,6029,5689,7821,5492,6922,9141,9843,1868
"2017.05","총전입 (명)",578011,124132,36958,23786,34524,16438,18652,10572,9434,147097,15883,15601,22636,18192,17433,22006,36716,7951
"2017.05","총전출 (명)",578011,130722,39318,24772,34365,16948,20854,11593,4624,139991,15846,15685,21164,18741,17614,22831,36277,6666
"2017.05","순이동 (명)",0,-6590,-2360,-986,159,-510,-2202,-1021,4810,7106,37,-84,1472,-549,-181,-825,439,1285
"2017.05","시도내이동-시군구내 (명)",227347,40853,12512,8468,13098,5963,5985,3796,3000,59695,7474,7790,9460,9267,6708,9727,19619,3932
"2017.05","시도내이동-시군구간 전입 (명)",161023,47407,15498,8957,9566,5351,6618,3610,0,38742,2409,1768,3092,3942,3648,3506,6196,713
"2017.05","시도내이동-시군구간 전출 (명)",161023,47407,15498,8957,9566,5351,6618,3610,0,38742,2409,1768,3092,3942,3648,3506,6196,713
"2017.05","시도간전입 (명)",189641,35872,8948,6361,11860,5124,6049,3166,6434,48660,6000,6043,10084,4983,7077,8773,10901,3306
"2017.05","시도간전출 (명)",189641,42462,11308,7347,11701,5634,8251,4187,1624,41554,5963,6127,8612,5532,7258,9598,10462,2021
"2017.06","총전입 (명)",541077,115236,34064,22260,31915,15601,16847,10225,7819,138178,15639,15333,21108,16964,16008,21740,35099,7041
"2017.06","총전출 (명)",541077,121281,36628,22875,31714,16034,18585,11014,4085,132131,14859,15310,19354,17650,16439,22436,34485,6197
"2017.06","순이동 (명)",0,-6045,-2564,-615,201,-433,-1738,-789,3734,6047,780,23,1754,-686,-431,-696,614,844
"2017.06","시도내이동-시군구내 (명)",210589,37233,11427,7694,11618,5889,5536,3669,2479,55106,6891,7216,8634,8718,6434,9978,18660,3407
"2017.06","시도내이동-시군구간 전입 (명)",151682,43703,14038,8546,9118,4923,5725,3519,0,37243,2577,2409,2933,3776,3266,3425,5781,700
"2017.06","시도내이동-시군구간 전출 (명)",151682,43703,14038,8546,9118,4923,5725,3519,0,37243,2577,2409,2933,3776,3266,3425,5781,700
"2017.06","시도간전입 (명)",178806,34300,8599,6020,11179,4789,5586,3037,5340,45829,6171,5708,9541,4470,6308,8337,10658,2934
"2017.06","시도간전출 (명)",178806,40345,11163,6635,10978,5222,7324,3826,1606,39782,5391,5685,7787,5156,6739,9033,10044,2090
"2017.07","총전입 (명)",543286,113098,35266,23072,34014,15040,15462,9807,6492,141537,14486,15148,21017,17423,16888,24410,32708,7418
"2017.07","총전출 (명)",543286,121341,37237,23807,33887,15356,16382,10770,3679,133528,14791,15060,19512,18172,17077,25062,31780,5845
"2017.07","순이동 (명)",0,-8243,-1971,-735,127,-316,-920,-963,2813,8009,-305,88,1505,-749,-189,-652,928,1573
"2017.07","시도내이동-시군구내 (명)",212217,36411,11518,8622,13144,5600,4823,3538,1782,55419,6387,7498,8673,9530,7320,12186,16460,3306
"2017.07","시도내이동-시군구간 전입 (명)",153390,43168,14764,8499,9927,4795,4949,3422,0,39176,2462,2096,3021,3597,3262,3982,5616,654
"2017.07","시도내이동-시군구간 전출 (명)",153390,43168,14764,8499,9927,4795,4949,3422,0,39176,2462,2096,3021,3597,3262,3982,5616,654
"2017.07","시도간전입 (명)",177679,33519,8984,5951,10943,4645,5690,2847,4710,46942,5637,5554,9323,4296,6306,8242,10632,3458
"2017.07","시도간전출 (명)",177679,41762,10955,6686,10816,4961,6610,3810,1897,38933,5942,5466,7818,5045,6495,8894,9704,1885
"2017.08","총전입 (명)",628151,132940,40356,27528,36757,18683,17413,10444,7536,169095,15950,16739,26580,18559,17648,28946,34778,8199
"2017.08","총전출 (명)",628151,141931,41103,29406,37274,18658,18333,11930,4711,158331,15788,16726,24570,19370,18938,29092,35344,6646
