"행정구역(시군구)별","연령별",2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역(시군구)별","연령별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"전국","60 - 64세",305552,305552,0,115756,89222,89222,100574,100574,328580,328580,0,127023,95249,95249,106308,106308,333844,333844,0,129525,96976,96976,107343,107343,390467,390467,0,152431,113497,113497,124539,124539,388617,388617,0,149760,111216,111216,127641,127641,327477,327477,0,125338,92732,92732,109407,109407
"전국","65 - 69세",187660,187660,0,72152,53738,53738,61770,61770,197249,197249,0,77097,56740,56740,63412,63412,192726,192726,0,75420,55577,55577,61729,61729,233689,233689,0,92061,67890,67890,73738,73738,240785,240785,0,93750,69214,69214,77821,77821,207874,207874,0,80533,59314,59314,68027,68027
"전국","70 - 74세",128498,128498,0,50521,36570,36570,41407,41407,133157,133157,0,52756,38057,38057,42344,42344,130302,130302,0,51947,37522,37522,40833,40833,150327,150327,0,60460,43041,43041,46826,46826,147399,147399,0,58098,41902,41902,47399,47399,121726,121726,0,47996,34401,34401,39329,39329
"전국","75 - 79세",101907,101907,0,39833,28375,28375,33699,33699,108355,108355,0,42671,30326,30326,35358,35358,100868,100868,0,40298,28240,28240,32330,32330,109369,109369,0,44402,30688,30688,34279,34279,101861,101861,0,40810,28209,28209,32842,32842,81214,81214,0,32857,22534,22534,25823,25823
"전국","80세이상",125241,125241,0,45520,34281,34281,45440,45440,135741,135741,0,50283,37358,37358,48100,48100,135224,135224,0,50493,37142,37142,47589,47589,149009,149009,0,56990,41746,41746,50273,50273,150572,150572,0,57302,41251,41251,52019,52019,130144,130144,0,50258,35148,35148,44738,44738
"서울특별시","계",1472937,1571423,-98486,454536,564271,564271,454130,552616,1439707,1549937,-110230,430780,548796,548796,460131,570361,1426493,1476081,-49588,406796,543831,543831,475866,525454,1578127,1642977,-64850,444682,623431,623431,510014,574864,1418187,1524430,-106243,387416,569648,569648,461123,567366,1201527,1236867,-35340,302805,468146,468146,430576,465916
"서울특별시","0 - 4세",61690,75348,-13658,21310,24933,24933,15447,29105,55070,70812,-15742,19286,21870,21870,13914,29656,52361,62350,-9989,17575,21179,21179,13607,23596,56557,65555,-8998,18334,24079,24079,14144,23142,42939,52210,-9271,13196,19396,19396,10347,19618,31351,38353,-7002,9028,13918,13918,8405,15407
"서울특별시","5 - 9세",49721,55437,-5716,21149,16938,16938,11634,17350,46131,53633,-7502,19670,15514,15514,10947,18449,46641,50024,-3383,18401,16197,16197,12043,15426,52750,57124,-4374,20050,19416,19416,13284,17658,44356,49937,-5581,16612,16953,16953,10791,16372,34179,37053,-2874,12308,12764,12764,9107,11981
"서울특별시","10 - 14세",47268,49220,-1952,20780,16461,16461,10027,11979,43908,46916,-3008,19289,14997,14997,9622,12630,43290,44066,-776,17811,15292,15292,10187,10963,45462,46943,-1481,18779,16140,16140,10543,12024,40491,43268,-2777,17031,14613,14613,8847,11624,33499,34128,-629,13115,12089,12089,8295,8924
"서울특별시","15 - 19세",73703,71062,2641,26032,23483,23483,24188,21547,67163,64252,2911,22349,21007,21007,23807,20896,64409,59542,4867,19360,19753,19753,25296,20429,63083,59647,3436,20083,19891,19891,23109,19673,54476,52456,2020,17186,17215,17215,20075,18055,49870,42243,7627,12381,14148,14148,23341,15714
"서울특별시","20 - 24세",144975,123801,21174,32382,43824,43824,68769,47595,145750,121769,23981,30381,43244,43244,72125,48144,148841,120321,28520,28699,43457,43457,76685,48165,164159,136324,27835,31624,50446,50446,82089,54254,155569,130234,25335,27917,48202,48202,79450,54115,146013,110634,35379,22368,41821,41821,81824,46445
"서울특별시","25 - 29세",199436,188655,10781,42198,74851,74851,82387,71606,214305,198945,15360,43368,80680,80680,90257,74897,225583,206537,19046,44938,85622,85622,95023,75977,248191,231203,16988,49705,98538,98538,99948,82960,236684,226499,10185,44452,95963,95963,96269,86084,212173,193863,18310,36532,83754,83754,91887,73577
"서울특별시","30 - 34세",186520,203042,-16522,46755,83539,83539,56226,72748,180075,197124,-17049,44112,80438,80438,55525,72574,179166,190029,-10863,43063,80341,80341,55762,66625,201802,212596,-10794,46496,94448,94448,60858,71652,180307,200406,-20099,40240,86176,86176,53891,73990,160202,172885,-12683,33837,74826,74826,51539,64222
"서울특별시","35 - 39세",147654,167997,-20343,44970,62474,62474,40210,60553,145324,170796,-25472,43441,61892,61892,39991,65463,144286,161964,-17678,41805,62113,62113,40368,58046,158442,176431,-17989,44282,71172,71172,42988,60977,132083,153810,-21727,35571,60960,60960,35552,57279,104613,119260,-14647,26513,47897,47897,30203,44850
"서울특별시","40 - 44세",110731,122337,-11606,38426,43477,43477,28828,40434,101672,116297,-14625,34605,39828,39828,27239,41864,98888,108170,-9282,31819,39114,39114,27955,37237,113320,124525,-11205,36035,46376,46376,30909,42114,101287,115580,-14293,31616,42347,42347,27324,41617,84917,94278,-9361,25044,35126,35126,24747,34108
"서울특별시","45 - 49세",109352,119386,-10034,39530,42507,42507,27315,37349,104175,116009,-11834,37276,40145,40145,26754,38588,100063,108666,-8603,34014,38951,38951,27098,35701,106038,115885,-9847,36511,41499,41499,28028,37875,89492,100979,-11487,30624,35714,35714,23154,34641,70685,77639,-6954,22720,28053,28053,19912,26866
"서울특별시","50 - 54세",89133,99500,-10367,32145,35045,35045,21943,32310,85207,96109,-10902,30153,33471,33471,21583,32485,82913,91611,-8698,28136,32454,32454,22323,31021,93476,103737,-10261,31564,37350,37350,24562,34823,85600,98275,-12675,28777,34481,34481,22342,35017,71267,80011,-8744,22707,28205,28205,20355,29099
"서울특별시","55 - 59세",83026,95460,-12434,29473,32471,32471,21082,33516,79294,92703,-13409,27667,31139,31139,20488,33897,73398,83208,-9810,24981,28239,28239,20178,29988,81458,91608,-10150,27102,32017,32017,22339,32489,70360,82423,-12063,23314,28146,28146,18900,30963,55200,63980,-8780,17824,21439,21439,15937,24717
"서울특별시","60 - 64세",60994,71989,-10995,21186,23870,23870,15938,26933,61468,73258,-11790,20935,23747,23747,16786,28576,61734,69794,-8060,20582,23175,23175,17977,26037,71301,81051,-9750,23137,27429,27429,20735,30485,66394,78657,-12263,21693,25569,25569,19132,31395,52594,61202,-8608,16715,19714,19714,16165,24773
"서울특별시","65 - 69세",38386,46137,-7751,13726,14758,14758,9902,17653,38561,46479,-7918,13686,14700,14700,10175,18093,37255,42806,-5551,12857,13836,13836,10562,16113,45354,52175,-6821,15152,17108,17108,13094,19915,45387,53374,-7987,15076,17281,17281,13030,21017,36976,43207,-6231,12186,13746,13746,11044,17275
"서울특별시","70 - 74세",27016,32310,-5294,10048,10071,10071,6897,12191,27036,32497,-5461,9754,10035,10035,7247,12708,25933,29784,-3851,9090,9589,9589,7254,11105,30127,34837,-4710,10649,10957,10957,8521,13231,28554,33817,-5263,9650,10760,10760,8144,13407,22300,26014,-3714,7652,8185,8185,6463,10177
"서울특별시","75 - 79세",20337,23821,-3484,7355,7400,7400,5582,9066,20763,24762,-3999,7348,7510,7510,5905,9904,19060,21705,-2645,6699,6743,6743,5618,8263,20941,24393,-3452,7380,7456,7456,6105,9557,19462,23052,-3590,6732,7062,7062,5668,9258,15288,17796,-2508,5343,5428,5428,4517,7025
"서울특별시","80세이상",22995,25921,-2926,7071,8169,8169,7755,10681,23805,27576,-3771,7460,8579,8579,7766,11537,22672,25504,-2832,6966,7776,7776,7930,10762,25666,28943,-3277,7799,9109,9109,8758,12035,24746,29453,-4707,7729,8810,8810,8207,12914,20400,24321,-3921,6532,7033,7033,6835,10756
"부산광역시","계",439073,467471,-28398,139074,182532,182532,117467,145865,416095,442854,-26759,130540,178172,178172,107383,134142,411704,435058,-23354,125676,176434,176434,109594,132948,491829,506176,-14347,155767,214524,214524,121538,135885,441323,460226,-18903,136072,189085,189085,116166,135069,383848,397410,-13562,109335,169621,169621,104892,118454
