"시도별","경제활동별",2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"시도별","경제활동별",실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
"시도별","경제활동별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"서울특별시","농업, 임업 및 어업",496660,-166837,-25.1,514102,17442,3.5,410524,-103578,-20.1,513258,102734,25.0,534991,21733,4.2,558547,23556,4.4,679150,120603,21.6,596405,-82745,-12.2,561298,-35107,-5.9,531540,-29758,-5.3,615150,83610,15.7,531723,-83427,-13.6,511029,-20694,-3.9,391224,-119805,-23.4,389413,-1811,-0.5,395667,6254,1.6,452836,57169,14.4,432413,-20423,-4.5,390334,-42079,-9.7,440369,50035,12.8
"서울특별시","광제조업",12651520,1818481,16.8,13701890,1050370,8.3,12484280,-1217610,-8.9,13309453,825173,6.6,14406690,1097237,8.2,15357472,950782,6.6,14837159,-520313,-3.4,14422472,-414687,-2.8,15836771,1414299,9.8,16000746,163975,1.0,17847617,1846871,11.5,16933168,-914449,-5.1,17053820,120652,0.7,16672919,-380901,-2.2,16067868,-605051,-3.6,15373098,-694770,-4.3,15102708,-270390,-1.8,15219675,116967,0.8,14181374,-1038301,-6.8,14933432,752058,5.3
"서울특별시","전기, 가스, 증기 및 공기 조절 공급업",3541981,-40686,-1.1,3297524,-244457,-6.9,3480727,183203,5.6,3738520,257793,7.4,3599886,-138634,-3.7,4186759,586873,16.3,3345753,-841006,-20.1,3397234,51481,1.5,2831323,-565911,-16.7,2884827,53504,1.9,2957059,72232,2.5,2273071,-683988,-23.1,1728204,-544867,-24.0,1704435,-23769,-1.4,1838816,134381,7.9,1912500,73684,4.0,1994744,82244,4.3,2315887,321143,16.1,2790705,474818,20.5,2887553,96848,3.5
"서울특별시","건설업",13663424,896442,7.0,14689420,1025996,7.5,15191362,501942,3.4,13988174,-1203188,-7.9,12796897,-1191277,-8.5,12521108,-275789,-2.2,11570149,-950959,-7.6,11251801,-318348,-2.8,10617646,-634155,-5.6,9730093,-887553,-8.4,9255518,-474575,-4.9,9699990,444472,4.8,10205427,505437,5.2,10478842,273415,2.7,11310791,831949,7.9,11807884,497093,4.4,12142426,334542,2.8,11873481,-268945,-2.2,11757747,-115734,-1.0,10758261,-999486,-8.5
"서울특별시","서비스업",211811540,13426100,6.8,214086101,2274561,1.1,219630986,5544885,2.6,227601553,7970567,3.6,238340194,10738641,4.7,252707799,14367605,6.0,261951941,9244142,3.7,267584864,5632923,2.2,277763808,10178944,3.8,286454760,8690952,3.1,290825564,4370804,1.5,297483905,6658341,2.3,301368097,3884192,1.3,310548505,9180408,3.0,319907372,9358867,3.0,327361401,7454029,2.3,339625359,12263958,3.7,350750750,11125391,3.3,351112823,362073,0.1,363024617,11911794,3.4
"부산광역시","지역내총생산(시장가격)",57866997,2484378,4.5,59924431,2057434,3.6,61227100,1302669,2.2,63032743,1805643,2.9,65299325,2266582,3.6,68944140,3644815,5.6,70785024,1840884,2.7,68336815,-2448209,-3.5,71968834,3632019,5.3,73792908,1824074,2.5,75742868,1949960,2.6,77000292,1257424,1.7,80258570,3258278,4.2,82701497,2442927,3.0,84114530,1413033,1.7,85441974,1327444,1.6,86889875,1447901,1.7,89105372,2215497,2.5,85962709,-3142663,-3.5,87629325,1666616,1.9
"부산광역시","농업, 임업 및 어업",755568,-132886,-15.0,797839,42271,5.6,696490,-101349,-12.7,688671,-7819,-1.1,617780,-70891,-10.3,662505,44725,7.2,716249,53744,8.1,695279,-20970,-2.9,658743,-36536,-5.3,770062,111319,16.9,706658,-63404,-8.2,621934,-84724,-12.0,647998,26064,4.2,532580,-115418,-17.8,509823,-22757,-4.3,508683,-1140,-0.2,441594,-67089,-13.2,391577,-50017,-11.3,414677,23100,5.9,483472,68795,16.6
"부산광역시","광제조업",9365289,671703,7.7,9355320,-9969,-0.1,9741807,386487,4.1,10227839,486032,5.0,10908716,680877,6.7,12272843,1364127,12.5,12832884,560041,4.6,11141038,-1691846,-13.2,13145920,2004882,18.0,13200929,55009,0.4,13378777,177848,1.3,13421731,42954,0.3,14059518,637787,4.8,14955540,896022,6.4,14637867,-317673,-2.1,14342297,-295570,-2.0,14198014,-144283,-1.0,14668393,470379,3.3,13914755,-753638,-5.1,14084007,169252,1.2
"부산광역시","전기, 가스, 증기 및 공기 조절 공급업",1229457,-246468,-16.7,1154041,-75416,-6.1,1481101,327060,28.3,1588364,107263,7.2,1719924,131560,8.3,1697674,-22250,-1.3,1728226,30552,1.8,1478120,-250106,-14.5,1670498,192378,13.0,1601500,-68998,-4.1,1321505,-279995,-17.5,1460411,138906,10.5,1793977,333566,22.8,1869034,75057,4.2,1853719,-15315,-0.8,1622172,-231547,-12.5,1730861,108689,6.7,1675381,-55480,-3.2,2220222,544841,32.5,2195171,-25051,-1.1
"부산광역시","건설업",4207527,100702,2.5,4597815,390288,9.3,5026222,428407,9.3,5007732,-18490,-0.4,4569177,-438555,-8.8,4367859,-201318,-4.4,4243988,-123871,-2.8,3749342,-494646,-11.7,3586466,-162876,-4.3,3644714,58248,1.6,4088890,444176,12.2,4008389,-80501,-2.0,4070932,62543,1.6,4095585,24653,0.6,4600841,505256,12.3,4819775,218934,4.8,4868200,48425,1.0,4838008,-30192,-0.6,4364889,-473119,-9.8,4242229,-122660,-2.8
