"시도별","경제활동별",2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"시도별","경제활동별",실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
"시도별","경제활동별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"광주광역시","전기, 가스, 증기 및 공기 조절 공급업",360499,29855,9.0,466452,105953,29.4,559019,92567,19.8,601919,42900,7.7,668946,67027,11.1
"광주광역시","건설업",1492858,-25387,-1.7,1669442,176584,11.8,1627794,-41648,-2.5,1819536,191742,11.8,1852024,32488,1.8
"광주광역시","서비스업",22784124,522444,2.3,23510008,725884,3.2,24610472,1100464,4.7,24158973,-451499,-1.8,24966967,807994,3.3
"대전광역시","지역내총생산(시장가격)",38772485,315928,0.8,39135729,363244,0.9,40684092,1548363,4.0,41208249,524157,1.3,42500095,1291846,3.1
"대전광역시","농업, 임업 및 어업",37521,469,1.3,35306,-2215,-5.9,35167,-139,-0.4,34368,-799,-2.3,38402,4034,11.7
"대전광역시","광제조업",6475709,-131654,-2.0,6258808,-216901,-3.3,6520285,261477,4.2,6609013,88728,1.4,6936783,327770,5.0
"대전광역시","전기, 가스, 증기 및 공기 조절 공급업",399444,36112,9.9,480451,81007,20.3,585233,104782,21.8,656220,70987,12.1,638690,-17530,-2.7
"대전광역시","건설업",1449541,-42694,-2.9,1435544,-13997,-1.0,1591750,156206,10.9,1739903,148153,9.3,1889164,149261,8.6
"대전광역시","서비스업",27837391,438313,1.6,28402523,565132,2.0,29281188,878665,3.1,29492798,211610,0.7,30194473,701675,2.4
"울산광역시","지역내총생산(시장가격)",72968962,-508706,-0.7,71344390,-1624572,-2.2,72024599,680209,1.0,67136435,-4888164,-6.8,69523278,2386843,3.6
"울산광역시","농업, 임업 및 어업",158628,685,0.4,148260,-10368,-6.5,136186,-12074,-8.1,129266,-6920,-5.1,146990,17724,13.7
"울산광역시","광제조업",36420554,-1383037,-3.7,35843060,-577494,-1.6,36875230,1032170,2.9,33731749,-3143481,-8.5,35144111,1412362,4.2
"울산광역시","전기, 가스, 증기 및 공기 조절 공급업",2024633,251366,14.2,1627138,-397495,-19.6,1976375,349237,21.5,2330972,354597,17.9,2314509,-16463,-0.7
"울산광역시","건설업",3564908,779076,28.0,3029518,-535390,-15.0,2303180,-726338,-24.0,2089984,-213196,-9.3,1865790,-224194,-10.7
"울산광역시","서비스업",17873475,-45533,-0.3,18034345,160870,0.9,18258586,224241,1.2,17888902,-369684,-2.0,18440677,551775,3.1
"세종특별자치시","지역내총생산(시장가격)",10140164,410260,4.2,10423610,283446,2.8,11091040,667430,6.4,11647981,556941,5.0,12509390,861409,7.4
"세종특별자치시","농업, 임업 및 어업",233362,24535,11.7,191458,-41904,-18.0,162276,-29182,-15.2,141132,-21144,-13.0,153712,12580,8.9
"세종특별자치시","광제조업",2267707,-51836,-2.2,2252771,-14936,-0.7,2405584,152813,6.8,2724362,318778,13.3,2991128,266766,9.8
"세종특별자치시","전기, 가스, 증기 및 공기 조절 공급업",193225,30902,19.0,175862,-17363,-9.0,147443,-28419,-16.2,224472,77029,52.2,232962,8490,3.8
"세종특별자치시","건설업",1561125,-95709,-5.8,1456476,-104649,-6.7,1323239,-133237,-9.1,1092471,-230768,-17.4,1010786,-81685,-7.5
"세종특별자치시","서비스업",5040089,401807,8.7,5531561,491472,9.8,6217793,686232,12.4,6682919,465126,7.5,7343913,660994,9.9
"경기도","지역내총생산(시장가격)",426172886,26344924,6.6,451914662,25741776,6.0,462288338,10373676,2.3,470022670,7734332,1.7,498358681,28336011,6.0
"경기도","농업, 임업 및 어업",3140614,-57043,-1.8,3198202,57588,1.8,3318432,120230,3.8,3100006,-218426,-6.6,3210592,110586,3.6
"경기도","광제조업",148593550,13770006,10.2,161419863,12826313,8.6,164584087,3164224,2.0,171747507,7163420,4.4,187372522,15625015,9.1
"경기도","전기, 가스, 증기 및 공기 조절 공급업",5381383,634187,13.4,5531923,150540,2.8,6070008,538085,9.7,6994242,924234,15.2,7400323,406081,5.8
"경기도","건설업",27105751,3441576,14.5,27485211,379460,1.4,27016066,-469145,-1.7,25566136,-1449930,-5.4,25800603,234467,0.9
"경기도","서비스업",209925441,6668887,3.3,220799798,10874357,5.2,227677158,6877360,3.1,230524783,2847625,1.3,242157561,11632778,5.0
"강원도","지역내총생산(시장가격)",43761362,1714031,4.1,44574334,812972,1.9,46064137,1489803,3.3,44829136,-1235001,-2.7,46781331,1952195,4.4
"강원도","농업, 임업 및 어업",2103563,46822,2.3,2028071,-75492,-3.6,2175911,147840,7.3,2106673,-69238,-3.2,2170596,63923,3.0
"강원도","광제조업",5391948,473267,9.6,5319618,-72330,-1.3,5328618,9000,0.2,5128849,-199769,-3.7,5258973,130124,2.5
"강원도","전기, 가스, 증기 및 공기 조절 공급업",1065723,254375,31.4,1327592,261869,24.6,1363826,36234,2.7,1064884,-298942,-21.9,1162498,97614,9.2
"강원도","건설업",3857266,-39561,-1.0,3428645,-428621,-11.1,3492241,63596,1.9,3628057,135816,3.9,3652281,24224,0.7
"강원도","서비스업",28345899,930906,3.4,29428171,1082272,3.8,30442976,1014805,3.4,29481125,-961851,-3.2,31083319,1602194,5.4
"충청북도","지역내총생산(시장가격)",61953139,3572606,6.1,65830010,3876871,6.3,66927772,1097762,1.7,65926194,-1001578,-1.5,70448338,4522144,6.9
"충청북도","농업, 임업 및 어업",1915026,30647,1.6,1873677,-41349,-2.2,1904052,30375,1.6,1701245,-202807,-10.7,1780502,79257,4.7
"충청북도","광제조업",27326275,2566926,10.4,30063268,2736993,10.0,30812789,749521,2.5,30324757,-488032,-1.6,33953458,3628701,12.0
"충청북도","전기, 가스, 증기 및 공기 조절 공급업",458089,66431,17.0,449567,-8522,-1.9,459070,9503,2.1,749203,290133,63.2,759148,9945,1.3
"충청북도","건설업",3574102,308520,9.4,4118895,544793,15.2,3579025,-539870,-13.1,3142334,-436691,-12.2,3064922,-77412,-2.5
"충청북도","서비스업",23880182,488362,2.1,24393966,513784,2.2,25195723,801757,3.3,25214568,18845,0.1,26392855,1178287,4.7
"충청남도","지역내총생산(시장가격)",110165655,5662292,5.4,110873163,707508,0.6,112310782,1437619,1.3,112762058,451276,0.4,118487227,5725169,5.1
"충청남도","농업, 임업 및 어업",4057495,-5282,-0.1,4017635,-39860,-1.0,4227809,210174,5.2,3960571,-267238,-6.3,4381415,420844,10.6
"충청남도","광제조업",52762844,4406756,9.1,53872702,1109858,2.1,54242035,369333,0.7,54765430,523395,1.0,58605482,3840052,7.0
"충청남도","전기, 가스, 증기 및 공기 조절 공급업",5396813,739876,15.9,5091934,-304879,-5.6,5280521,188587,3.7,4920541,-359980,-6.8,4877301,-43240,-0.9
"충청남도","건설업",6171211,-89218,-1.4,5334840,-836371,-13.6,4951911,-382929,-7.2,5315629,363718,7.3,5384530,68901,1.3
"충청남도","서비스업",31221463,293322,0.9,32054897,833434,2.7,33355941,1301044,4.1,33747565,391624,1.2,34853464,1105899,3.3
"전라북도","지역내총생산(시장가격)",47553099,888549,1.9,48350793,797694,1.7,49506041,1155248,2.4,49116252,-389789,-0.8,50636383,1520131,3.1
"전라북도","농업, 임업 및 어업",3463763,97509,2.9,3420221,-43542,-1.3,3526160,105939,3.1,3244946,-281214,-8.0,3388397,143451,4.4
"전라북도","광제조업",11179097,53701,0.5,11152811,-26286,-0.2,10834401,-318410,-2.9,10393717,-440684,-4.1,11119409,725692,7.0
"전라북도","전기, 가스, 증기 및 공기 조절 공급업",1286287,66402,5.4,1196921,-89366,-6.9,1266431,69510,5.8,1469288,202857,16.0,1480941,11653,0.8
"전라북도","건설업",2991385,185363,6.6,3136099,144714,4.8,3148614,12515,0.4,3171486,22872,0.7,2993225,-178261,-5.6
"전라북도","서비스업",25243380,513595,2.1,25964735,721355,2.9,26953059,988324,3.8,26866560,-86499,-0.3,27749003,882443,3.3
"전라남도","지역내총생산(시장가격)",71340179,890455,1.3,72888289,1548110,2.2,74618019,1729730,2.4,74972494,354475,0.5,76965787,1993293,2.7
"전라남도","농업, 임업 및 어업",4873725,130928,2.8,5105560,231835,4.8,5285947,180387,3.5,5060776,-225171,-4.3,5421895,361119,7.1
"전라남도","광제조업",22805486,324830,1.4,22915492,110006,0.5,22722374,-193118,-0.8,21970001,-752373,-3.3,23115051,1145050,5.2
"전라남도","전기, 가스, 증기 및 공기 조절 공급업",3105237,223335,7.7,2899883,-205354,-6.6,2882841,-17042,-0.6,2904229,21388,0.7,2976258,72029,2.5
"전라남도","건설업",4091976,-159375,-3.7,4277662,185686,4.5,5071273,793611,18.6,5717796,646523,12.7,4935111,-782685,-13.7
