"시점","항목",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2017.01","총인구수 (명)",51704332,9930478,3496779,2484688,2944009,1469583,1514354,1171656,244939,12728620,1549212,1591674,2097406,1863298,1902380,2698803,3374065,642388
"2017.01","남자인구수 (명)",25830890,4875745,1724481,1234155,1478103,728408,757142,603471,122451,6401310,780219,803295,1065288,926821,951308,1356260,1699430,323003
"2017.01","여자인구수 (명)",25873442,5054733,1772298,1250533,1465906,741175,757212,568185,122488,6327310,768993,788379,1032118,936477,951072,1342543,1674635,319385
"2017.02","총인구수 (명)",51712221,9931412,3495478,2484578,2944266,1468527,1513877,1169957,247600,12741266,1548252,1592001,2099924,1861955,1900797,2696329,3372266,643736
"2017.02","남자인구수 (명)",25833963,4874839,1723568,1233889,1478113,727870,756811,602577,123761,6408014,779796,803533,1066697,926100,950622,1355368,1698621,323784
"2017.02","여자인구수 (명)",25878258,5056573,1771910,1250689,1466153,740657,757066,567380,123839,6333252,768456,788468,1033227,935855,950175,1340961,1673645,319952
"2017.03","총인구수 (명)",51714935,9926968,3493041,2483488,2944630,1467766,1512189,1168843,251178,12753983,1547735,1591697,2102327,1860485,1899441,2694544,3371696,644924
"2017.03","남자인구수 (명)",25833566,4871560,1721829,1232979,1478115,727352,755931,601926,125524,6414903,779542,803490,1068132,925364,949774,1354401,1698309,324435
"2017.03","여자인구수 (명)",25881369,5055408,1771212,1250509,1466515,740414,756258,566917,125654,6339080,768193,788207,1034195,935121,949667,1340143,1673387,320489
"2017.04","총인구수 (명)",51722903,9922745,3491282,2483105,2945305,1467002,1511396,1168501,254112,12763961,1547579,1592492,2104463,1859703,1899604,2693810,3371703,646140
"2017.04","남자인구수 (명)",25836516,4868367,1720874,1232641,1478356,726707,755507,601623,126951,6419893,779608,804037,1069348,925005,950175,1354089,1698224,325111
"2017.04","여자인구수 (명)",25886387,5054378,1770408,1250464,1466949,740295,755889,566878,127161,6344068,767971,788455,1035115,934698,949429,1339721,1673479,321029
"2017.05","총인구수 (명)",51732586,9919016,3489212,2482476,2946270,1466741,1509587,1167960,259157,12775175,1547453,1592573,2105959,1858927,1899088,2692859,3372586,647547
"2017.05","남자인구수 (명)",25840361,4865778,1719792,1232194,1478780,726559,754432,601244,129481,6425769,779367,804119,1070198,924625,949931,1353724,1698498,325870
"2017.05","여자인구수 (명)",25892225,5053238,1769420,1250282,1467490,740182,755155,566716,129676,6349406,768086,788454,1035761,934302,949157,1339135,1674088,321677
"2017.06","총인구수 (명)",51736224,9914381,3486570,2481985,2946915,1466451,1508137,1167525,263056,12783741,1547829,1592634,2107562,1857815,1898065,2691727,3373334,648497
"2017.06","남자인구수 (명)",25840911,4862573,1718263,1231735,1479099,726451,753814,600925,131391,6430216,779669,804151,1071202,924014,949266,1353079,1698655,326408
"2017.06","여자인구수 (명)",25895313,5051808,1768307,1250250,1467816,740000,754323,566600,131665,6353525,768160,788483,1036360,933801,948799,1338648,1674679,322089
"2017.07","총인구수 (명)",51744948,9908612,3484836,2481489,2947803,1466415,1507597,1166942,266075,12795378,1547387,1592817,2109230,1856921,1897681,2690974,3374601,650190
"2017.07","남자인구수 (명)",25844117,4859039,1717283,1231358,1479560,726563,753555,600568,132913,6436130,779242,804225,1072094,923537,948948,1352630,1699166,327306
"2017.07","여자인구수 (명)",25900831,5049573,1767553,1250131,1468243,739852,754042,566374,133162,6359248,768145,788592,1037136,933384,948733,1338344,1675435,322884
"2017.08","총인구수 (명)",51753820,9902072,3484183,2479887,2948014,1466642,1507116,1165909,269102,12810014,1547455,1593022,2111419,1855985,1895974,2690671,3374467,651888
"2017.08","남자인구수 (명)",25847379,4855013,1716630,1230481,1479582,726678,753326,600002,134395,6443859,779280,804272,1073294,923000,947994,1352403,1698991,328179
"2017.08","여자인구수 (명)",25906441,5047059,1767553,1249406,1468432,739964,753790,565907,134707,6366155,768175,788750,1038125,932985,947980,1338268,1675476,323709
